object_id,class,split,object_path
0,Airplane,train,Airplane/1021a0914a7207aff927ed529ad90a11.obj
1,Airplane,train,Airplane/103c9e43cdf6501c62b600da24e0965.obj
2,Airplane,train,Airplane/105f7f51e4140ee4b6b87e72ead132ed.obj
3,Airplane,train,Airplane/1066b65c30d153e04c3a35cee92bb95b.obj
4,Airplane,train,Airplane/106dfe858cb8fbc2afc6b80d80a265ab.obj
5,Airplane,train,Airplane/10aa040f470500c6a66ef8df4909ded9.obj
6,Airplane,train,Airplane/10af5de930178a161596c26b5af806fe.obj
7,Airplane,train,Airplane/10c7cdfdffe2243b88a89a28f04ce622.obj
8,Airplane,train,Airplane/10cfc2090a2ade124c3a35cee92bb95b.obj
9,Airplane,train,Airplane/10db820f0e20396a492c7ca609cb0182.obj
10,Airplane,train,Airplane/10e0a7255d279a419751c7a6f15617f4.obj
11,Airplane,train,Airplane/10e4331c34d610dacc14f1e6f4f4f49b.obj
12,Airplane,train,Airplane/10eeb119fd5508e0d6d949577c389a84.obj
13,Airplane,train,Airplane/110f6dbf0e6216e9f9a63e9a8c332e52.obj
14,Airplane,train,Airplane/112ca5420188df4bd90bfc986bc4c94d.obj
15,Airplane,train,Airplane/1169d987dbbce76775f4ea0b85a53249.obj
16,Airplane,train,Airplane/118e8142a8cb1fe19a4a28ef635593ce.obj
17,Airplane,train,Airplane/11d2af04fad0a7e2ce19d55bc5e6a406.obj
18,Airplane,train,Airplane/11def84f9fe8ab0acd726e804e5d7a.obj
19,Airplane,train,Airplane/121b5c1c81aa77906b153e6e0582b3ac.obj
20,Airplane,train,Airplane/121e9fceb90440efed79d3bd546890bd.obj
21,Airplane,train,Airplane/122963149f6a04272620819ddac40644.obj
22,Airplane,train,Airplane/123bd9e948881939c38a1d3458dafa1b.obj
23,Airplane,train,Airplane/124062ccaeae95085e9e2656aff7dd5b.obj
24,Airplane,train,Airplane/124a579e0635b8eace19d55bc5e6a406.obj
25,Airplane,train,Airplane/125417c3fa9bc1b130f57e42c77d3894.obj
26,Airplane,train,Airplane/1272dd98c66f13579a6e43b878d5b335.obj
27,Airplane,train,Airplane/1280f994ba1f92d28699933784576e73.obj
28,Airplane,train,Airplane/12a1ac26d29ed1083554ccf8c30febe7.obj
29,Airplane,train,Airplane/12b25b8de7aa37a0bd46d022fd7d80aa.obj
30,Airplane,train,Airplane/12c66a0490b223be595dc3191c718398.obj
31,Airplane,train,Airplane/12c82319147385e7ef0e1705c5c9e361.obj
32,Airplane,train,Airplane/12d15ac778df6e4562b600da24e0965.obj
33,Airplane,train,Airplane/12e127c0416f94ca4c3a35cee92bb95b.obj
34,Airplane,train,Airplane/12e6e5f07b3aad3c5b9f44d7cd72a051.obj
35,Airplane,train,Airplane/12f4778ebba781236b7bd17e458d0dcb.obj
36,Airplane,train,Airplane/1304ef60fe9793f685e0a2007a11e92f.obj
37,Airplane,train,Airplane/130934b3dd2fddfaaf4f36f817f09501.obj
38,Airplane,train,Airplane/130d3f27fb083eebc0909d98a1ff2b4.obj
39,Airplane,train,Airplane/131db4a650873babad3ab188d086d4db.obj
40,Airplane,train,Airplane/132111c575000a3c146e44cc99f07c52.obj
41,Airplane,train,Airplane/1322a9cabb1517219a6e43b878d5b335.obj
42,Airplane,train,Airplane/132fc603f8f69b08e816c75152573ee0.obj
43,Airplane,train,Airplane/133b74393a3349aa70c4138179d9ed97.obj
44,Airplane,train,Airplane/1345cd9d0da6d149c6f6da58b133bae0.obj
45,Airplane,train,Airplane/136c2b868c5326dbba5db366aa3ac475.obj
46,Airplane,train,Airplane/137acaae47b50659348e240586a3f6f8.obj
47,Airplane,train,Airplane/1385305478499e6c1e06124bec25a766.obj
48,Airplane,train,Airplane/13daaef458d6bb11e1873a3963e0d14.obj
49,Airplane,train,Airplane/13ea0a2ac279dbaa5e9e2656aff7dd5b.obj
50,Airplane,train,Airplane/14161a05a21cbd6f62b600da24e0965.obj
51,Airplane,train,Airplane/14282db0ca4238429a6e43b878d5b335.obj
52,Airplane,train,Airplane/142acab4424009a123fc69eefd95e6d3.obj
53,Airplane,train,Airplane/143326cbe409ca9f62048be44e1fa435.obj
54,Airplane,train,Airplane/1435b52348569ce1bd46d022fd7d80aa.obj
55,Airplane,train,Airplane/146533404a778665c93b40751084c22.obj
56,Airplane,train,Airplane/1482d7a9e529dde7340461a254c1a95.obj
57,Airplane,train,Airplane/1490a4ae04d453784f856435f28995af.obj
